country,Overall score,rank,pluralism,govfunc,poliparc,policul,civlib
Norway,9.81,1,10,9.64,10,10,9.41
Iceland,9.37,2,10,8.57,8.89,10,9.41
Sweden,9.26,3,9.58,9.29,8.33,10,9.12
New Zealand,9.25,4,10,8.93,8.89,8.75,9.71
Canada,9.24,5,9.58,8.93,8.89,9.38,9.41
Finland,9.2,6,10,8.93,8.89,8.75,9.41
Denmark,9.15,7,10,8.93,8.33,9.38,9.12
Ireland,9.05,8,10,7.86,8.33,9.38,9.71
Australia,8.96,9,10,8.57,7.78,8.75,9.71
Netherlands,8.96,9,9.58,9.29,8.33,8.75,8.82
Taiwan,8.94,11,10,9.64,7.22,8.13,9.71
Switzerland,8.83,12,9.58,8.57,7.78,9.38,8.82
Luxembourg,8.68,13,10,8.57,6.67,8.75,9.41
Germany,8.67,14,9.58,8.21,8.33,8.13,9.12
Uruguay,8.61,15,10,8.57,6.67,8.13,9.71
United Kingdom,8.54,16,10,7.5,8.89,7.5,8.82
Chile,8.28,17,9.58,8.21,6.67,8.13,8.82
Austria,8.16,18,9.58,7.5,8.33,6.88,8.53
Costa Rica,8.16,18,9.58,6.79,7.22,7.5,9.71
Mauritius,8.14,20,9.17,7.86,6.11,8.75,8.82
Japan,8.13,21,8.75,8.57,6.67,8.13,8.53
Spain,8.12,22,9.58,7.14,7.22,8.13,8.53
South Korea,8.01,23,9.17,8.21,7.22,7.5,7.94
France,7.99,24,9.58,7.5,7.78,6.88,8.24
United States,7.92,25,9.17,6.79,8.89,6.25,8.53
Portugal,7.9,26,9.58,7.5,6.11,7.5,8.82
Estonia,7.84,27,9.58,7.86,6.67,6.88,8.24
Israel,7.84,27,9.17,7.5,9.44,7.5,5.59
Italy,7.74,29,9.58,6.43,7.22,7.5,7.94
Malta,7.68,30,9.17,6.79,6.11,8.13,8.24
Czech Republic,7.67,31,9.58,6.07,6.67,7.5,8.53
Cabo Verde,7.65,32,9.17,7,6.67,6.88,8.53
Botswana,7.62,33,9.17,6.79,6.11,7.5,8.53
Cyprus,7.56,34,9.17,5.36,7.22,7.5,8.53
Slovenia,7.54,35,9.58,6.43,7.22,6.25,8.24
Belgium,7.51,36,9.58,7.86,5,6.88,8.24
Greece,7.39,37,9.58,5.21,6.11,7.5,8.53
Latvia,7.24,38,9.58,6.07,6.67,5.63,8.24
Malaysia,7.19,39,9.58,7.86,6.67,6.25,5.59
Panama,7.18,40,9.58,6.43,7.22,5,7.65
Trinidad and Tobago,7.16,41,9.58,7.14,6.11,5.63,7.35
Jamaica,7.13,42,8.75,7.14,5,6.25,8.53
Lithuania,7.13,42,9.58,6.07,5.56,5.63,8.82
Leste,7.06,44,9.58,5.93,5.56,6.88,7.35
South Africa,7.05,45,7.42,7.14,8.33,5,7.35
Colombia,7.04,46,9.17,6.43,6.67,5,7.94
Slovakia,6.97,47,9.58,6.43,5.56,5.63,7.65
Argentina,6.95,48,9.17,5.36,6.67,5.63,7.94
Brazil,6.92,49,9.58,5.36,6.11,5.63,7.94
Poland,6.85,50,9.17,5.71,6.67,5.63,7.06
Suriname,6.82,51,9.58,6.07,6.11,5,7.35
Bulgaria,6.71,52,9.17,5.71,7.22,4.38,7.06
India,6.61,53,8.67,7.14,6.67,5,5.59
Tunisia,6.59,54,9.17,5.36,7.22,5.63,5.59
Philippines,6.56,55,9.17,5,7.78,4.38,6.47
Hungary,6.56,55,8.33,6.43,5,6.25,6.76
Peru,6.53,57,8.75,5.36,5.56,5.63,7.35
Namibia,6.52,58,7,5.36,6.67,5.63,7.94
Croatia,6.5,59,9.17,6.07,6.11,4.38,6.76
Ghana,6.5,59,8.33,5.36,6.67,6.25,5.88
Mongolia,6.48,61,8.75,5.71,5.56,5.63,6.76
Romania,6.4,62,9.17,5.36,6.67,3.75,7.06
Dominican Republic,6.32,63,9.17,4.29,6.11,5,7.06
Lesotho,6.3,64,9.17,4.14,6.11,5.63,6.47
Indonesia,6.3,64,7.92,7.5,6.11,4.38,5.59
Serbia,6.22,66,8.25,5.36,6.67,3.75,7.06
Paraguay,6.18,67,8.75,5.71,5,4.38,7.06
Sri Lanka,6.14,68,7,5.71,5.56,6.25,6.18
Ecuador,6.13,69,8.75,5,6.67,3.75,6.47
Papua new Guinea,6.1,70,6.92,6.07,3.33,6.25,7.94
Albania,6.08,71,7,5.36,4.44,6.25,7.35
Mexico,6.07,72,7.83,5.71,7.78,3.13,5.88
Thailand,6.04,73,7,5,6.67,6.25,5.29
Singapore,6.03,74,4.83,7.86,4.44,6.25,6.76
Guyana,6.01,75,6.5,5.36,6.11,5,7.06
Bangladesh,5.99,76,7.42,6.07,6.11,5.63,4.71
El Salvador,5.9,77,9.17,4.29,6.11,3.75,6.18
North Macedonia,5.89,78,7.42,5.71,6.11,3.13,7.06
Ukraine,5.81,79,8.25,2.71,7.22,5,5.88
Moldova,5.78,80,7,4.64,6.11,4.38,6.76
Montenegro,5.77,81,7.42,5.71,6.11,3.13,6.47
Malawi,5.74,82,7,4.29,5,6.25,6.18
Fiji,5.72,83,6.58,5,6.11,5.63,5.29
Bhutan,5.71,84,8.75,6.79,3.33,5,4.71
Madagascar,5.7,85,7.92,3.57,6.67,5.63,4.71
Senegal,5.67,86,6.08,5.71,4.44,6.25,5.88
Hong Kong,5.57,87,3.17,3.64,5,7.5,8.53
Honduras,5.36,88,7.83,4.29,4.44,4.38,5.88
Armenia,5.35,89,7.5,5,6.11,3.13,5
Liberia,5.32,90,7.42,2.71,5.56,5.63,5.29
Georgia,5.31,91,7.83,3.57,6.11,3.75,5.29
Nepal,5.22,92,4.83,5.36,5,5.63,5.29
Tanzania,5.1,93,4.83,5,5,6.25,4.41
Bolivia,5.08,94,6.08,3.57,6.11,3.75,5.88
Kenya,5.05,95,3.5,5.36,6.67,5.63,4.12
Morocco,5.04,96,5.25,4.64,5.56,5.63,4.12
Guatemala,4.97,97,6.92,3.93,5,3.13,5.88
Uganda,4.94,98,4.33,3.21,5,6.88,5.29
Zambia,4.86,99,4.75,2.93,3.89,6.88,5.88
Sierra Leone,4.86,99,6.58,2.86,3.33,6.25,5.29
Bosnia and Hercegovina,4.84,101,7,2.93,5.56,3.13,5.59
Benin,4.58,102,3.33,5.36,3.89,5.63,4.71
Gambia,4.49,103,4,4.29,4.44,5.63,4.12
Turkey,4.48,104,3.5,5.36,5.56,5.63,2.35
Pakistan,4.31,105,5.67,5.36,3.33,2.5,4.71
Haiti,4.22,106,4.75,1.71,2.78,6.25,5.59
Kyrgyz Republic,4.21,107,4.75,2.93,5.56,3.13,4.71
Lebanon,4.16,108,3.5,1.5,6.67,5,4.12
Côte d’Ivoire,4.11,109,4.33,2.86,3.89,5.63,3.82
Nigeria,4.1,110,5.17,3.57,3.89,3.75,4.12
Mali,3.93,111,5.17,0,4.44,5.63,4.41
Mauritania,3.92,112,3.5,3.57,5,3.13,4.41
Palestine,3.83,113,3.33,0.14,7.78,4.38,3.53
Kuwait,3.8,114,3.58,3.93,3.89,4.38,3.24
Algeria,3.77,115,3.08,2.5,4.44,5,3.82
Burkina Faso,3.73,116,3,2.36,4.44,5,3.82
Angola,3.66,117,2.25,2.86,5.56,5,2.65
Iraq,3.62,118,5.25,0,6.67,5,1.18
Jordan,3.62,118,2.67,3.93,3.89,4.38,3.24
Nicaragua,3.6,120,0.42,2.86,5,5.63,4.12
Gabon,3.54,121,2.58,1.86,4.44,5,3.82
Mozambique,3.51,122,2.58,1.43,5,5,3.53
Ethiopia,3.38,123,0.42,3.57,5.56,5,2.35
Russia,3.31,124,2.17,2.14,5,3.13,4.12
Niger,3.29,125,2.92,1.14,3.33,4.38,4.71
Qatar,3.24,126,0,4.29,2.78,5.63,3.53
Zimbabwe,3.16,127,0,2.5,4.44,5.63,3.24
Kazakhstan,3.14,128,0.5,3.21,5,3.75,3.24
Congo (Brazzaville),3.11,129,2.17,2.5,3.89,3.75,3.24
Cambodia,3.1,130,0,3.93,3.89,5.63,2.06
Rwanda,3.1,130,1.42,4.29,2.78,4.38,2.65
Comoros,3.09,132,2.08,2.21,3.89,3.75,3.53
eSwatini,3.08,133,0.92,2.86,2.78,5.63,3.24
Guinea,3.08,133,3.5,0.43,4.44,4.38,2.65
Myanmar,3.04,135,1.75,3.93,2.78,4.38,2.35
Oman,3,136,0.08,3.93,2.78,4.38,3.82
Vietnam,2.94,137,0,2.86,3.89,5.63,2.35
Egypt,2.93,138,1.33,3.21,3.33,5,1.76
Afghanistan,2.85,139,3.42,0.64,3.89,2.5,3.82
Cuba,2.84,140,0,3.57,3.33,4.38,2.94
Togo,2.8,141,0.92,1.79,3.33,5,2.94
Cameroon,2.77,142,1.67,2.14,3.33,4.38,2.35
Venezuela,2.76,143,0,1.79,5,4.38,2.65
Djibouti,2.71,144,0.42,1.29,3.89,5.63,2.35
United arab Emirates,2.7,145,0,3.93,2.22,5,2.35
Azerbaijan,2.68,146,0.5,2.86,3.33,3.75,2.94
Guinea-Bissau,2.63,147,4.92,0,2.78,3.13,2.35
Belarus,2.59,148,0,2,3.89,5,2.06
Sudan,2.54,149,0,1.79,4.44,5,1.47
Bahrain,2.49,150,0.83,2.71,2.78,4.38,1.76
China,2.27,151,0,4.29,2.78,3.13,1.18
Iran,2.2,152,0,2.5,3.89,3.13,1.47
Eritrea,2.15,153,0,2.14,0.56,6.88,1.18
Burundi,2.14,154,0,0,3.33,5,2.35
Uzbekistan,2.12,155,0.08,1.86,2.78,5,0.88
Saudi Arabia,2.08,156,0,3.57,2.22,3.13,1.47
Libya,1.95,157,0,0,3.33,3.75,2.65
Yemen,1.95,157,0,0,3.89,5,0.88
Tajikistan,1.94,159,0,2.21,2.22,4.38,0.88
Equatorial Guinea,1.92,160,0,0.43,3.33,4.38,1.47
Laos,1.77,161,0,2.86,1.67,3.75,0.59
Turkmenistan,1.72,162,0,0.79,2.22,5,0.59
Chad,1.55,163,0,0,1.67,3.75,2.35
Syria,1.43,164,0,0,2.78,4.38,0
Central African Republic,1.32,165,1.25,0,1.11,1.88,2.35
Democratic Republic of Congo,1.13,166,0,0,1.67,3.13,0.88
North Korea,1.08,167,0,2.5,1.67,1.25,0
